City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
579,Emirdag,TR,72.19,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
583,Vila Velha,BR,73.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
590,Altagracia De Orituco,VE,75.96,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
597,Ayagoz,KZ,70.14,scattered clouds,47.9714,80.4392,Gostinitsa Nur
603,San Juan,AR,71.87,clear sky,-31.5375,-68.5364,Hotel Provincial
613,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
615,Inirida,CO,74.59,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
617,Komsomolskiy,UZ,74.62,overcast clouds,40.4272,71.7189,Ikathouse
625,Mantua,IT,70.75,broken clouds,45.1667,10.7833,Hotel la Favorita
626,Atambua,ID,70.05,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
631,Gracac,HR,73.38,broken clouds,44.3006,15.8547,"Apartment ""ANA"""
634,Helong,CN,70.41,overcast clouds,42.5397,128.9972,Helong Hotel
643,Kirakira,SB,75.97,overcast clouds,-10.4544,161.9205,SanBiz Lodge
660,Bambanglipuro,ID,75.67,overcast clouds,-7.95,110.2833,Puri Brata
662,Xuddur,SO,72.27,overcast clouds,4.1213,43.8894,Banjanay Hotel
671,Livno,BA,72.1,overcast clouds,43.8269,17.0078,Hotel Park
672,Tigzirt,DZ,74.71,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
684,Kisangani,CD,70.75,broken clouds,0.5167,25.2,Grand Ramela Hotel
689,Yelniki,RU,72.55,clear sky,54.6207,43.876000000000005,Гостиница „Расвет”
692,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
