City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-08-03 00:33:57,-33.0153,27.9116,57.99,81,1,17.81
68,Talnakh,RU,2021-08-03 00:30:11,69.4865,88.3972,73.4,49,100,5.39
69,Stutterheim,ZA,2021-08-03 00:33:58,-32.5708,27.424,44.58,85,0,6.71
70,Umm Kaddadah,SD,2021-08-03 00:32:34,13.6017,26.6876,79.84,65,69,14.43
71,Hami,CN,2021-08-03 00:33:58,42.8,93.45,80.6,20,2,6.78
72,Cherskiy,RU,2021-08-03 00:33:58,68.75,161.3,47.3,51,100,19.28
73,Port Elizabeth,ZA,2021-08-03 00:33:59,-33.918,25.5701,55.69,88,0,9.22
74,Hermanus,ZA,2021-08-03 00:29:20,-34.4187,19.2345,56.89,84,1,8.66
75,Mezhdurechenskiy,RU,2021-08-03 00:33:59,59.6,65.9333,60.03,80,70,5.14
76,Ahipara,NZ,2021-08-03 00:34:00,-35.1667,173.1667,55.18,82,38,27.98
77,Luderitz,NA,2021-08-03 00:33:37,-26.6481,15.1594,66.06,35,0,2.98
78,Tasiilaq,GL,2021-08-03 00:34:00,65.6145,-37.6368,46.56,80,100,1.92
79,Bambous Virieux,MU,2021-08-03 00:34:00,-20.3428,57.7575,59.25,88,20,5.75
80,Chifeng,CN,2021-08-03 00:34:01,42.2683,118.9636,72.23,69,12,4.47
81,Rio Pardo De Minas,BR,2021-08-03 00:34:01,-15.6097,-42.5397,56.16,65,6,3.74
82,Kodiak,US,2021-08-03 00:34:01,57.79,-152.4072,56.71,72,90,8.05
83,Kapaa,US,2021-08-03 00:33:39,22.0752,-159.319,88.12,75,20,5.01
84,Jutai,BR,2021-08-03 00:34:02,-5.1833,-68.9,72.99,58,14,1.68
85,Lukovit,BG,2021-08-03 00:34:02,43.2,24.1667,74.66,60,0,4.74
86,Bintulu,MY,2021-08-03 00:30:23,3.1667,113.0333,73.81,100,40,6.91
87,Arraial Do Cabo,BR,2021-08-03 00:34:03,-22.9661,-42.0278,68.07,80,0,17.69
88,Saint-Philippe,RE,2021-08-03 00:34:03,-21.3585,55.7679,67.59,69,0,2.24
89,Adrar,MR,2021-08-03 00:34:03,20.5022,-10.0711,91.65,36,10,15.32
90,Aguimes,ES,2021-08-03 00:34:04,27.9054,-15.4461,70.43,68,20,19.57
91,Cota,CO,2021-08-03 00:34:04,4.8094,-74.098,57.18,62,40,9.22
92,Chuy,UY,2021-08-03 00:34:04,-33.6971,-53.4616,48.36,95,0,5.48
93,Anadyr,RU,2021-08-03 00:34:04,64.75,177.4833,48.7,87,90,22.37
94,Skibbereen,IE,2021-08-03 00:34:05,51.55,-9.2667,55.2,86,100,3.31
95,Gornopravdinsk,RU,2021-08-03 00:34:05,60.05,69.9,57.45,98,100,7.0
96,Maracacume,BR,2021-08-03 00:34:05,-2.0428,-45.9592,72.77,90,19,2.86
97,Andrelandia,BR,2021-08-03 00:34:06,-21.7397,-44.3092,54.99,75,11,2.57
98,Requena,ES,2021-08-03 00:34:06,39.4883,-1.1004,68.99,82,6,2.66
99,Cabedelo,BR,2021-08-03 00:34:06,-6.9811,-34.8339,74.07,85,5,11.92
100,New Norfolk,AU,2021-08-03 00:34:07,-42.7826,147.0587,49.75,81,100,1.92
101,Faanui,PF,2021-08-03 00:29:22,-16.4833,-151.75,78.31,78,84,13.76
102,Berbera,SO,2021-08-03 00:34:07,10.4396,45.0143,88.29,42,10,23.29
